,0,1,2,3,4,mean,average_precision_score
accuracy,0.14285714285714285,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.4523809523809524,0.0058418144731277695
precision,0.00029163021289005544,0.0005401026194977045,0.0010432968179447052,0.0008399832003359933,0.0006706908115358819,0.0006771407324408681,0.0058418144731277695
recall,0.14285714285714285,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.4523809523809524,0.0058418144731277695
f1-score,0.0005820721769499419,0.0010781671159029648,0.0020833333333333333,0.0016778523489932888,0.0013395847287340924,0.0013522019407827242,0.0058418144731277695
